Username,Twitter-Handle,Timestamp,Text,No. of Comments,No. of Likes,No. of Retweets
Haury,@HauryOrg,2020-01-24T01:35:15.000Z,Waterproof Camera Underwater Camera Full HD 2.7K 48MP Waterproof Digital Camera for Snorkeling 16X Digital Zoom Point and Shoot Selfie Dual Screen https://haury.org/waterproof-camera-underwater-camera-full-hd-2-7k-48mp-waterproof-digital-camera-for-snorkeling-16x-digital-zoom-point-and-shoot-selfie-dual-screen/…,,,
Host Android,@HostAndroid,2020-01-23T21:48:08.000Z,Waterproof Camera Underwater Camera Full HD 2.7K 48MP Waterproof Digital Camera for Snorkeling 16X Digital Zoom Point and Shoot Selfie Dual Screen https://hostandroid.com/waterproof-camera-underwater-camera-full-hd-2-7k-48mp-waterproof-digital-camera-for-snorkeling-16x-digital-zoom-point-and-shoot-selfie-dual-screen/…,,,
FintechZoom,@FinTechZoom,2020-01-23T20:28:30.000Z,"New article: ""Microsoft shows how it wants apps to look on its new dual-screen computers"" has been published on Fintech Zoom - https://fintechzoom.com/fintech_news_news/microsoft-shows-how-it-wants-apps-to-look-on-its-new-dual-screen-computers/… 
@FintechZoom
 #Fintech #Blockchain #Crypto #Cryptocurrency #ICO",,,
James Gross,@James_Gross,2020-01-23T18:31:13.000Z,"1.6 GHz Dual-Core Intel Core i5 + 16 GB of RAM

What that gets you in 2020 is: 

- no more than 6 Chrome tabs
- slack or whatsapp + imessage (never all 3)

Try adding Zoom screen share and you could start a fire at your desk.",7,2,11
Store Stop,@StoreStop1,2020-01-22T17:45:53.000Z,"Full HD Waterproof 2.7inch TFT Digital Camera 1080P Double Screen 16x Digital Zoom Camcorder HD268 Selfie Dual Screen Camera https://storestop.co.za/full-hd-waterproof-2-7inch-tft-digital-camera-1080p-double-screen-16x-digital-zoom-camcorder-hd268-selfie-dual-screen-camera/…
#fashion|#tech|#home|#lifestyle",,,
AmazonBay4u,@AmazonBay4u,2020-01-21T08:46:36.000Z,Dual Screen Waterproof Digital Camera 48 mp 16x zoom 2.7k new boxed free post http://dlvr.it/RNRbvd,,,
Unknown,@RoshanKshirsa13,2020-01-16T18:08:12.000Z,"#HuaweiP40 renders show a triple rear and dual front cameras main +ultra wide +3D Tof sensor with 80mm of telephoto lens (3x zoom) 
In front dual selfie (ultrawide +main )screen 6.1 or 6.2 in in diagonal No 3.5 mm jack 
 .It it powered by kirin 990 chipset (5G variant)",,,
TechnicalSane,@sane_technical,2019-12-16T13:30:38.000Z,"#Vivox305G series launched..
Specs ::
-60x Super Zoom | 50mm professional portrait 
-Exunos 980 dual-mode 5CSoC 
-2.98mm ultra-small hole XDR screen 
-13Mp+8Mp wide angle lens+64Mp+32Mp potrait lens
-32Mp selfie camera
-4350 mAh battery ,33w Vivo flashcharge
#vivox30 #vivox30pro",1,1,7
Aaryan Trivedi,@Vedaah,2019-12-14T15:43:03.000Z,"Dear 
@Google
, here's my Pixel 5 wish list:

1. Minimum 128gb storage & 4200mah battery
2. Dual front firing speakers &  cameras
4. Rear triple camera set up with ultra wide lens & 5 X optical zoom
5. A 6"" qhd screen with user adjustable 120hz refresh rate & resolution

Make it.",,,
Vote like RBG is watching (she/her),@sharondio,2019-12-13T15:39:05.000Z,"Replying to 
@nityaWait until you run Zoom meetings on dual monitors, with one for video, and one for screen shares.",1,,2
Appleros,@Appleros1,2019-12-04T18:05:26.000Z,"Los finalistas al smartphone + innovador son:
@HuaweiMobileESP
 Mate 30 Pro (Kirin 990 5G + ultra-slow motion 7680fps)
@HuaweiMobileESP
 P30 Pro (zoom 50x)
@lgespana
 V50 ThinQ (Dual Screen)
@SonyEspana
 Xperia 1 (21:9 4K HDR screen)

 ¿Quién será el ganador? #PremiosAppleros",1,,1
MiniAmaZon,@GeekyTechzone,2019-12-02T06:55:25.000Z,"Oppo Reno 2 z - Rs. 25990 / 21%OFF

48MP Quadcam with Zoom
Memory, Storage & SIM: 8GB RAM | 256GB internal memory expandable up to 256GB | Dual SIM with 4G
6.53-inch AMOLED screen with 2340 x 1080 pixels resolution
4000mAH battery

Best buy - https://amzn.to/2RgFeyeVijay Joshi and 9 others",,1,
ben,@bencsin,2019-11-23T06:31:18.000Z,"Best haptics: Pixel 4
Best battery life: Mate 30 Pro 
Best camera overall: iPhone 11 Pro 
Most versatile camera: Oppo Reno 10X zoom 
Best UI: OnePlus 7T
Best screen: OnePlus 7T Pro
Best deal: LG G8X Dual Screen or Realme X2 Pro depending on what u need
Best phone: Galaxy Fold",9,3,68
Christmas Toys Tips,@XmasToysTips,2019-11-22T14:54:49.000Z,"https://is.gd/IoWh5b - Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with 2.8'' Touch Screen, 4X Digital Zoom, Gift for 3-12 Years Old Girls Boys Party Outdoor, Pink(16GB TF Card Included)",,,
Top Bargain Toys,@TopBargainToys,2019-11-22T14:54:47.000Z,"https://is.gd/IoWh5b - Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with 2.8'' Touch Screen, 4X Digital Zoom, Gift for 3-12 Years Old Girls Boys Party Outdoor, Pink(16GB TF Card Included)",,,
KidzToyZone,@KidzToyZone,2019-11-22T14:54:45.000Z,"https://is.gd/IoWh5b - Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with 2.8'' Touch Screen, 4X Digital Zoom, Gift for 3-12 Years Old Girls Boys Party Outdoor, Pink(16GB TF Card Included)",,,
Christmas Toys Zone,@XmasToysZone,2019-11-22T14:54:43.000Z,"https://is.gd/IoWh5b - Kids Camera, 8.0MP Creative Digital Dual Camera, Rechargeable Children Camcorder with 2.8'' Touch Screen, 4X Digital Zoom, Gift for 3-12 Years Old Girls Boys Party Outdoor, Pink(16GB TF Card Included)",,,
Blue Baby Shop,@BlueBabyShop,2019-11-19T16:20:35.000Z,"Baby Monitor, Video Baby Monitor with 3.5'' LCD Screen, Wireless Night Vision Dual View Video, Newborn Baby Monitor with Pan/Tilt/Zoom Night Vision Digital Color Camera, Two-Way Audio - https://bluebabyshop.com/?p=14799",,,
PhoneHouse España,@PhoneHouse_Es,2019-11-07T19:00:00.000Z," Qualcomm® Snapdragon™ 845 
 Cámara dual con IA y zoom óptico
 Doble frecuencia GPS 
 Pantalla AMOLED full-screen 6,21""

Esta maravilla de 
@XiaomiEspana
 se llama #Mi8 y SOLO HOY Y MAÑANA te lo pillas 240€ menos 
http://bit.ly/OfertaXiaomiMi8

#OFERTAFLASH #EligePagarMenos",2,,8
